"verb","Agency{agent}_Label","Annotator1_raw","Annotator2_raw","Annotator3_raw",,,
"assembles","+",1,1,1,,,
"saves","+",1,0,1,,,
"forges","+",1,1,1,,,
"messes up","+",0,1,1,,,
"huffs","+",0,0,1,,,
"unscrews","+",1,1,1,,,
"blackens","+",1,1,0,,,
"stinks","-",-1,-1,-1,,,
"fronts","+",0,1,0,,,
"clasps","+",1,1,0,,,
"patches","+",1,1,1,,,
"relates to","-",-1,-1,0,,,
"presents","+",1,1,0,,,
"regrets","-",0,0,-1,,,
"performs","+",1,0,1,,,
"battles","+",1,1,1,,,
"prowls","+",1,1,1,,,
"betters","+",1,1,1,,,
"overcomes","+",1,1,0,,,
"crops","+",1,1,1,,,
"scampers","+",0,1,1,,,
"withers","-",-1,-1,-1,,,
"pardons","+",1,1,1,,,
"flutters","+",1,0,1,,,
"clothes","+",1,1,1,,,
"uncovers","+",1,1,0,,,
"scribbles","+",1,1,0,,,
"phones","+",1,1,1,,,
"snuggles","+",1,1,1,,,
"scrapes","+",1,1,1,,,
"stiffens","+",1,1,1,,,
"tires","=",-1,0,1,,,
"preaches","+",1,0,0,1,1,1
"complicates","+",1,0,0,,,
"rusts","-",-1,-1,-1,,,
"tethers","+",1,1,1,,,
"gawks","=",0,0,0,,,
"revolves","+",0,1,0,,,
"fingers","+",1,1,1,,,
"lights","+",1,1,1,,,
"dangles","+",1,1,0,,,
"establishes","+",1,1,1,,,
"supplies","+",1,1,1,,,
"tips","+",1,1,0,,,
"contributes","+",1,0,0,,,
"seeks","+",0,0,1,,,
"counters","+",1,1,0,,,
"shimmers","-",-1,-1,-1,,,
"pats","+",1,1,0,,,
"screams","+",0,1,0,,,
"yanks","+",1,1,0,,,
"applies","+",0,1,1,,,
"jolts","+",1,0,1,,,
"stares","-",-1,-1,-1,,,
"stresses","+",1,0,1,,,
"transfixes","+",1,1,1,,,
"kids","+",0,0,1,,,
"oozes","=",0,1,-1,,,
"jams","+",1,1,1,,,
"ventures","+",1,1,0,,,
"cakes","+",1,0,0,,,
"settles","+",1,0,0,,,
"postpones","+",0,1,0,,,
"reports","+",1,1,1,,,
"cages","+",1,1,1,,,
"changes","+",1,1,1,,,
"prints","+",1,1,1,,,
"spooks","+",1,0,0,,,
"slices","+",1,1,1,,,
"summons","+",1,1,0,,,
"elaborates","+",0,1,0,,,
"smolders","-",0,0,-1,,,
"cheats","+",0,0,1,,,
"shoves","+",1,1,1,,,
"counts","=",0,0,0,,,
"grumbles","+",1,1,0,,,
"swings","+",1,1,1,,,
"limps","-",0,-1,0,,,
"bundles","+",1,0,1,,,
"arms","+",1,0,0,,,
"leaks","+",0,1,1,,,
"raids","+",1,1,1,,,
"brings","+",1,0,0,,,
"rivets on","+",1,0,1,,,
"shelters","+",0,1,1,,,
"separates","+",1,1,1,,,
"pierces","+",1,1,1,,,
"shoos","+",0,0,1,,,
"instals","+",0,1,1,,,
"resents","-",0,0,-1,,,
"divorces","+",1,1,1,,,
"sizzles","=",1,-1,0,,,
"swipes","+",1,0,1,,,
"overhears","=",-1,0,1,,,
"laughs","+",1,0,0,,,
"wrenches","+",1,0,1,,,
"indicates","+",0,1,0,,,
"hardens","+",1,1,1,,,
"organizes","+",1,1,1,,,
"cites","+",1,0,1,,,
"looses","+",0,1,0,,,
"sneers","+",1,0,0,,,
"recovers","+",1,1,1,,,
"eyeballs","+",0,0,1,,,
"pokes","+",0,1,1,,,
"mouths","+",1,0,1,,,
"arcs","+",1,0,0,,,
"swallows","+",1,1,0,,,
"consumes","+",1,1,1,,,
"connects","+",1,1,1,,,
"sparkles","-",-1,-1,-1,,,
"minimizes","+",1,1,1,,,
"reconciles","+",1,1,0,,,
"types","+",0,1,0,,,
"stimulates","+",1,0,1,,,
"diminishes","+",1,1,0,,,
"wins","+",1,0,0,,,
"attracts","=",-1,1,0,,,
"descends","+",0,0,1,,,
"scoffs","+",1,0,1,,,
"rouses","+",0,1,0,,,
"keeps","-",-1,0,-1,,,
"acknowledges","-",-1,0,0,,,
"unfolds","+",1,1,1,,,
"jabs","+",1,1,1,,,
"expects","-",-1,1,-1,,,
"executes","+",1,1,1,,,
"stencils","+",0,1,1,,,
"satisfies","+",0,1,0,,,
"welcomes","+",0,0,1,,,
"glances","-",-1,-1,0,,,
"highlights","+",0,1,0,,,
"embarrasses","+",1,1,0,,,
"frisks","+",1,1,0,,,
"sprays","+",1,1,1,,,
"tilts","+",1,1,1,,,
"savors","+",1,0,0,,,
"whips","+",1,1,1,,,
"vents","+",1,0,0,,,
"bails","+",0,1,1,,,
"blots","+",1,0,1,,,
"bans","+",1,1,1,,,
"slurps","+",1,1,1,,,
"downs","+",1,0,1,,,
"glazes","+",1,1,0,,,
"pegs","+",1,1,1,,,
"shadows","=",1,-1,0,,,
"represents","+",1,0,0,,,
"crosses","+",1,0,0,,,
"relishes","-",0,0,-1,,,
"blushes","-",0,-1,0,,,
"ascends","+",1,1,0,,,
"rocks","=",1,0,-1,,,
"dumps","+",1,1,1,,,
"glints","=",-1,0,1,,,
"mounts","+",1,0,1,,,
"feeds","+",0,1,1,,,
"classifies","+",0,1,0,,,
"notifies","+",1,0,0,,,
"inserts","+",1,1,1,,,
"glues","+",0,1,1,,,
"kneels","+",1,0,1,,,
"clinks","=",1,0,-1,,,
"mandates","+",-1,1,1,,,
"bowls","+",1,1,1,,,
"skins","+",1,1,1,,,
"sears","+",1,1,0,,,
"arrives","=",1,-1,0,,,
"precedes","-",-1,0,-1,,,
"aids","+",1,0,1,,,
"mangles","+",1,1,1,,,
"sprints","+",1,1,0,,,
"marches","=",-1,1,0,,,
"lurks","-",-1,0,0,,,
"clamps","+",1,1,1,,,
"washes","+",1,1,1,,,
"gos","=",0,0,0,,,
"assaults","+",1,1,1,,,
"dares","+",1,0,0,,,
"admits","+",1,0,0,,,
"assures","+",1,0,0,,,
"disputes","+",1,0,1,,,
"splashes","+",1,1,0,,,
"ambles","+",1,-1,1,,,
"zaps","+",1,1,0,,,
"incorporates","+",1,1,1,,,
"competes","+",1,0,1,,,
"staggers","=",1,0,-1,,,
"skitters","=",-1,1,0,,,
"installs","+",0,1,1,,,
"starts","+",1,0,1,,,
"creates","+",1,1,1,,,
"evacuates","+",1,0,0,,,
"deems","+",0,0,1,,,
"plummets","-",-1,-1,-1,,,
"punctuates","+",0,1,1,,,
"leaps","+",1,0,1,,,
"speeds","+",1,1,0,,,
"appeals","-",0,-1,0,,,
"features","-",-1,0,0,,,
"twitches","-",-1,-1,1,,,
"floors","+",0,1,0,,,
"enrages","+",1,0,1,,,
"rejects","+",1,1,1,,,
"rummages","+",1,0,1,,,
"struts","+",1,0,1,,,
"blurts","+",1,0,0,,,
"snags","+",0,1,1,,,
"warns","+",0,1,0,,,
"curtains","+",1,1,0,,,
"mutilates","+",1,1,1,,,
"reins","+",0,0,1,,,
"lunges","+",1,1,1,,,
"brushes","+",1,1,-1,,,
"digs","+",1,1,1,,,
"swells","=",1,0,-1,,,
"gambles","+",1,1,1,,,
"begins","+",0,0,1,,,
"kidnaps","+",1,1,1,,,
