,verb,oricat,pos,neg,equal
0,declare,pos,assert,intend,presume
1,strike,pos,attack,fear,struggle
2,pull,pos,push,keep,put
3,dump,pos,trash,overflow,waste
4,scowl,pos,frown,grimace,glower
5,cluster,pos,cloud,correspond,correspond
6,inflict,pos,injure,suffer,endanger
7,dust,pos,surface,rust,waste
8,pan,pos,bake,crumble,inch
9,leaf,pos,plant,rust,bark
10,sacrifice,pos,honor,desire,pray
11,mandate,pos,impose,regard,reconsider
12,encase,pos,encircle,protrude,enclose
13,free,pos,get,enjoy,access
14,bellow,pos,howl,wail,squeal
15,elect,pos,appoint,defer,defer
16,reverse,pos,switch,result,result
17,plaster,pos,paint,glitter,bark
18,reason,pos,think,doubt,suppose
19,bandage,pos,wound,flap,shin
20,distort,pos,exaggerate,misunderstand,depress
21,choke,pos,strangle,bleed,strangle
22,comprehend,pos,interpret,perceive,grasp
23,prevail,pos,arise,endure,struggle
24,divide,pos,split,perceive,multiply
25,sneer,pos,scowl,smirk,glower
26,swoop,pos,pounce,vanish,glide
27,carve,pos,chop,intend,imitate
28,interview,pos,talk,hear,brief
29,lumber,pos,mill,rot,bark
30,pinch,pos,squeeze,relish,pry
31,wind,pos,storm,snow,swell
32,unhook,pos,unscrew,fixate,pry
33,drown,pos,suffocate,weep,cry
34,sidestep,pos,evade,defer,defer
35,investigate,pos,assess,analyze,examine
36,promise,pos,bring,desire,hope
37,excite,pos,arouse,fascinate,attract
38,bubble,pos,boom,fart,slide
39,locate,pos,discover,analyze,verify
40,cross,pos,corner,border,side
41,peruse,pos,browse,ponder,indulge
42,rouse,pos,arouse,doze,appall
43,occupy,pos,invade,belong,possess
44,salute,pos,honor,acknowledge,congratulate
45,wake,pos,awake,sleep,cry
46,erupt,pos,explode,subside,gush
47,study,pos,survey,analyze,examine
48,hide,pos,conceal,want,cloak
49,shred,pos,chop,crumble,chill
50,drain,pos,sink,overflow,waste
51,harden,pos,soften,crumble,darken
52,confuse,pos,distract,misunderstand,presume
53,pee,pos,squirt,fart,sniff
54,belch,pos,sneeze,fart,inhale
55,strain,pos,stress,ache,isolate
56,shake,pos,knock,shudder,let
57,bound,pos,hold,remain,leave
58,forbid,pos,prohibit,obey,presume
